labels,values
20:30,42583.558
20:31,42583.318
20:32,42566.4552
20:33,42566.7998
20:34,42563.0814
20:35,42560.3121
20:36,42558.627
20:37,42549.046
20:38,42550.5508
20:39,42548.0203
20:40,42544.1761
20:41,42544.9421
20:42,42543.8488
20:43,42541.3102
20:44,42532.9036
20:45,42525.1937
20:46,42521.0955
20:47,42510.7056
20:48,42508.7923
20:49,42499.9198
20:50,42498.3539
20:51,42497.5429
20:52,42516.382
20:53,42492.5203
20:54,42481.2594
20:55,42482.0959
20:56,42474.8957
20:57,42456.3981
20:58,42459.3951
20:59,42454.962
21:00,42449.0438
21:01,42441.431
21:02,42430.3814
21:03,42439.3059
21:04,42435.7792
21:05,42436.9238
21:06,42448.3141
21:07,42448.3287
21:08,42449.1028
21:09,42451.3609
21:10,42472.2884
21:11,42472.0182
21:12,42476.2098
21:13,42478.0512
21:14,42485.0034
21:15,42481.4288
21:16,42486.427
21:17,42498.4679
21:18,42493.8095
21:19,42495.4359
21:20,42488.8811
21:21,42480.2438
21:22,42457.1599
21:23,42457.3241
21:24,42465.7439
21:25,42472.137
21:26,42471.7045
21:27,42474.8475
21:28,42481.3654
21:29,42480.3222
21:30,42513.5541
21:31,42517.0258
21:32,42520.1602
21:33,42521.4926
21:34,42518.608
21:35,42517.8864
21:36,42517.009
21:37,42516.3621
21:38,42517.467
21:39,42517.3563
21:40,42513.0516
21:41,42511.9045
21:42,42510.7866
21:43,42542.1775
21:44,42580.2781
21:45,42566.9565
21:46,42574.0652
21:47,42589.9289
21:48,42587.4509
21:49,42597.8404
21:50,42589.9454
21:51,42592.902
21:52,42595.4547
21:53,42595.2126
21:54,42588.2843
21:55,42588.3392
21:57,42589.8071
